INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
27	 0	3.230	3.195	2.567	2.540
27	 1	3.143	3.028	2.604	2.505
27	 2	3.120	3.106	2.650	2.638
27	 3	2.999	2.877	2.607	2.507
27	 4	3.131	3.097	2.643	2.613
27	 5	3.021	3.000	2.592	2.573
27	 6	3.060	2.967	2.678	2.591
27	 7	3.267	3.143	2.873	2.789
28	 0	3.039	2.910	2.421	2.318
28	 1	2.890	2.893	2.374	2.376
28	 2	2.655	2.614	2.296	2.264
28	 3	2.737	2.713	2.340	2.316
28	 4	2.835	2.800	2.455	2.422
28	 5	2.766	2.712	2.415	2.368
28	 6	2.807	2.787	2.489	2.465
28	 7	2.819	2.786	2.576	2.546
29	 0	2.965	2.965	2.398	2.397
29	 1	2.978	2.962	2.508	2.488
29	 2	3.113	3.081	2.560	2.526
29	 3	2.815	2.797	2.419	2.409
29	 4	2.940	2.889	2.530	2.498
29	 5	2.903	2.789	2.506	2.419
29	 6	3.074	3.064	2.612	2.596
29	 7	3.148	3.095	2.689	2.645
30	 0	2.862	2.815	2.356	2.320
30	 1	2.774	2.732	2.383	2.352
30	 2	2.761	2.734	2.425	2.403
30	 3	2.742	2.716	2.393	2.372
30	 4	2.836	2.762	2.494	2.425
30	 5	2.747	2.758	2.401	2.393
30	 6	3.074	3.046	2.707	2.688
30	 7	2.884	2.826	2.573	2.526
31	 0	3.093	3.014	2.527	2.461
31	 1	2.872	2.854	2.449	2.437
31	 2	2.784	2.758	2.384	2.363
31	 3	2.781	2.734	2.398	2.363
31	 4	2.928	2.928	2.559	2.559
31	 5	2.835	2.834	2.508	2.508
31	 6	2.895	2.852	2.580	2.543
31	 7	2.989	2.974	2.664	2.651
