Peaking Times - based on Mean values without Outliers [us]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values at peaking time - based on Mean values without Outliers [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
732.05	747.37	706.94	738.16	664.16	606.37	752.08	669.96	690.55	731.74	691.77	647.59	610.05	715.69	678.94	713.46	674.02	626.84	742.98	687.24	748.37	699.51	703.63	658.65	661.49	784.39	690.84	736.05	649.12	649.69	722.08	662.69	693.58	43.656	691.30	  0	693.58	43.656
707.52	724.49	682.97	714.91	643.66	587.25	728.79	647.81	669.85	711.18	670.10	627.65	594.13	696.98	658.77	691.70	654.73	607.33	721.69	662.32	724.08	677.07	681.66	638.72	641.77	759.99	667.32	713.77	626.22	628.43	697.03	639.41	671.85	42.359	669.98	  0	671.85	42.359
696.05	713.96	672.47	704.63	633.26	578.21	717.40	636.64	659.99	699.55	659.79	617.11	585.98	686.94	647.12	681.15	645.18	597.39	711.16	650.13	711.88	665.84	671.33	628.35	630.95	747.80	656.85	704.70	615.93	617.94	684.75	627.94	661.20	41.891	659.89	  0	661.20	41.891
688.88	707.25	665.07	697.29	626.94	571.63	711.21	629.69	654.55	693.30	653.60	611.33	581.07	681.23	641.06	674.69	639.70	591.90	703.70	642.92	704.14	659.53	664.97	621.98	624.76	740.51	650.05	697.13	609.99	610.96	677.94	620.90	654.68	41.524	654.07	  0	654.68	41.524
684.36	701.42	660.35	692.29	622.73	567.23	705.83	625.11	650.01	688.02	649.22	607.42	577.95	677.17	635.94	670.20	635.11	587.54	698.83	637.64	699.06	654.40	660.53	617.59	619.96	735.10	645.41	692.42	604.70	606.58	672.60	616.14	649.96	41.213	649.62	  0	649.96	41.213
679.80	697.74	656.09	687.98	618.94	563.80	700.69	620.60	646.34	683.99	645.39	604.22	574.52	674.20	632.28	665.97	631.38	584.36	695.27	632.90	693.24	650.24	656.47	613.64	616.25	730.15	641.44	688.46	600.47	603.18	668.09	612.76	645.96	40.877	645.87	  0	645.96	40.877
677.00	694.57	652.59	684.89	615.88	561.57	697.35	617.83	643.60	680.77	642.76	601.61	572.55	671.28	628.87	662.81	628.77	581.31	691.41	629.29	689.35	646.26	653.96	611.13	613.03	726.94	638.09	685.11	597.66	600.18	663.88	609.40	642.87	40.616	643.18	  0	642.87	40.616
673.63	691.64	650.09	681.55	613.62	559.49	694.34	614.93	640.82	678.12	640.25	599.32	570.79	669.01	626.96	660.36	626.54	579.35	688.93	626.18	685.85	643.82	651.23	608.47	610.41	723.42	634.96	682.42	595.15	597.53	660.83	606.74	640.21	40.324	640.53	  0	640.21	40.324
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values (ADC code) at peaking time - based on Mean values with Outliers [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
732.16	747.40	706.72	738.17	664.16	606.42	752.08	669.96	690.55	731.74	691.77	647.55	609.92	715.69	679.04	713.46	673.97	626.84	742.98	687.24	748.04	699.60	703.63	658.65	661.47	784.44	690.85	735.90	649.12	649.50	722.18	662.69	693.56	43.659	691.31	  0	693.56	43.659
707.43	724.49	682.97	714.91	643.61	587.25	728.79	647.81	669.85	711.42	670.07	627.67	594.31	697.15	658.77	691.70	654.73	607.33	721.53	662.37	724.14	677.12	681.67	638.72	641.55	759.99	667.43	713.62	626.22	628.33	696.93	639.41	671.85	42.354	669.96	  0	671.85	42.354
696.05	713.96	672.52	704.63	633.26	578.26	717.71	636.64	659.99	699.55	659.79	617.06	585.88	686.94	647.12	681.25	645.23	597.44	711.16	650.13	711.83	665.90	671.25	628.32	630.95	747.80	656.85	704.60	615.92	617.84	684.75	627.99	661.21	41.906	659.89	  0	661.21	41.906
688.88	707.25	665.12	697.29	626.94	571.63	711.21	629.69	654.65	693.35	653.65	611.48	581.17	681.32	640.95	674.69	639.48	591.85	703.70	642.87	704.14	659.34	664.87	621.98	624.70	740.44	650.05	697.18	609.99	610.96	677.94	620.90	654.68	41.521	654.15	  0	654.68	41.521
684.36	701.42	660.40	692.29	622.73	567.23	705.83	625.11	649.98	688.02	649.27	607.42	577.95	677.31	635.87	670.20	635.06	587.45	698.78	637.64	699.01	654.45	660.55	617.54	620.00	735.15	645.41	692.42	604.70	606.58	672.57	616.14	649.96	41.221	649.63	  0	649.96	41.221
679.80	697.74	656.09	688.00	618.89	563.80	700.69	620.55	646.48	683.94	645.59	604.27	574.56	674.20	632.28	665.81	631.43	584.41	695.27	632.90	693.34	650.24	656.53	613.68	616.25	730.20	641.44	688.46	600.47	603.18	668.09	612.76	645.98	40.875	646.04	  0	645.98	40.875
676.70	694.57	652.59	684.89	615.88	561.57	697.35	617.83	643.60	680.67	642.72	601.40	572.44	671.28	628.80	662.81	628.77	581.36	691.41	629.34	689.34	646.31	653.96	611.13	613.03	726.89	638.04	685.11	597.66	600.18	663.88	609.45	642.84	40.612	643.16	  0	642.84	40.612
673.63	691.64	650.09	681.55	613.62	559.49	694.34	614.88	640.87	678.12	640.25	599.37	570.90	669.01	626.96	660.32	626.54	579.35	688.93	626.23	685.85	643.82	651.27	608.47	610.41	723.42	634.96	682.42	595.15	597.53	660.83	606.74	640.22	40.316	640.56	  0	640.22	40.316
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Channel_out values (ADC code) at peaking time - based on Median values [ADC code]
  #0	  #1	  #2	  #3	  #4	  #5	  #6	  #7	  #8	  #9	 #10	 #11	 #12	 #13	 #14	 #15	 #16	 #17	 #18	 #19	 #20	 #21	 #22	 #23	 #24	 #25	 #26	 #27	 #28	 #29	 #30	 #31	mean	std	median	outliers	mean_w/o_out	std_w/o_out
732.00	747.00	707.00	738.00	664.00	606.00	752.00	670.00	690.00	731.00	692.00	648.00	610.00	716.00	679.00	713.50	674.00	627.00	743.00	687.00	749.00	700.00	704.00	658.00	661.00	784.00	691.00	736.00	649.00	650.00	722.00	663.00	693.55	43.644	691.50	  0	693.55	43.644
708.00	725.00	683.00	715.00	644.00	587.00	729.00	648.00	670.00	711.00	670.00	628.00	594.00	697.00	659.00	692.00	654.50	608.00	722.00	662.00	724.00	677.00	682.00	639.00	642.00	760.00	667.00	714.00	626.00	629.00	697.00	640.00	671.98	42.358	670.00	  0	671.98	42.358
696.00	714.00	672.00	705.00	633.00	578.00	717.50	637.00	660.00	699.00	660.00	617.00	586.00	687.00	647.00	681.00	645.00	597.00	711.00	650.00	712.00	666.00	672.00	629.00	631.00	748.00	657.00	705.00	616.00	618.00	685.00	628.00	661.23	41.934	660.00	  0	661.23	41.934
689.00	707.00	665.00	698.00	627.00	572.00	711.50	630.00	654.00	693.00	654.00	611.00	581.00	681.00	641.00	674.00	640.00	592.00	703.00	643.00	704.00	660.00	665.00	622.00	625.00	740.00	650.00	697.00	610.00	611.00	678.00	621.00	654.67	41.428	654.00	  0	654.67	41.428
685.00	701.00	660.00	692.00	623.00	567.00	706.00	625.00	650.00	688.00	649.00	608.00	578.00	677.00	636.00	670.00	635.00	588.00	699.00	638.00	699.00	654.00	661.00	618.00	620.00	735.00	645.00	693.00	605.00	606.00	673.00	616.00	650.00	41.195	649.50	  0	650.00	41.195
680.00	698.00	656.00	688.00	619.00	564.00	701.00	621.00	646.00	684.00	645.00	604.00	574.00	674.00	632.00	666.00	631.00	584.00	695.00	633.00	693.00	650.00	657.00	613.00	616.00	730.00	642.00	689.00	601.00	603.00	668.00	613.00	645.94	40.933	645.50	  0	645.94	40.933
677.00	694.00	653.00	685.00	616.00	562.00	697.00	618.00	644.00	681.00	643.00	601.50	573.00	672.00	629.00	663.00	629.00	581.00	691.50	629.00	689.00	646.00	654.00	611.00	613.00	727.00	638.00	685.00	597.00	600.00	664.00	609.00	642.88	40.609	643.50	  0	642.88	40.609
674.00	692.00	650.00	682.00	613.00	559.00	694.00	615.00	641.00	678.00	640.00	599.00	571.00	669.00	627.00	661.00	626.00	579.00	689.00	626.00	686.00	644.00	651.00	609.00	610.00	724.00	635.00	682.00	595.00	597.00	661.00	607.00	640.19	40.469	640.50	  0	640.19	40.469
