ch	pt	fine_thr	a_fit	b_fit
 4	 1	 6	219.791	0.391
 4	 1	 7	218.669	0.487
 4	 2	 0	226.066	0.271
 4	 2	 1	224.832	0.374
 4	 2	 2	223.900	0.366
 4	 2	 3	222.747	0.425
 4	 2	 4	221.824	0.437
 4	 2	 5	220.760	0.354
 4	 2	 6	219.758	0.380
 4	 2	 7	218.687	0.554
 4	 3	 0	226.025	0.279
 4	 3	 1	224.869	0.353
 4	 3	 2	223.885	0.322
 4	 3	 3	222.784	0.397
 4	 3	 4	221.848	0.411
 4	 3	 5	220.730	0.324
 4	 3	 6	219.798	0.372
 4	 3	 7	218.700	0.546
 4	 4	 0	226.006	0.281
 4	 4	 1	224.824	0.289
 4	 4	 2	223.880	0.320
 4	 4	 3	222.741	0.381
 4	 4	 4	221.816	0.411
 4	 4	 5	220.748	0.290
 4	 4	 6	219.749	0.354
 4	 4	 7	218.665	0.476
 4	 5	 0	226.006	0.281
 4	 5	 1	224.849	0.275
 4	 5	 2	223.853	0.297
 4	 5	 3	222.714	0.394
 4	 5	 4	221.848	0.373
 4	 5	 5	220.696	0.308
 4	 5	 6	219.820	0.374
 4	 5	 7	218.652	0.526
 4	 6	 0	225.977	0.309
 4	 6	 1	224.863	0.280
 4	 6	 2	223.821	0.299
 4	 6	 3	222.726	0.398
 4	 6	 4	221.788	0.380
 4	 6	 5	220.716	0.285
 4	 6	 6	219.777	0.363
 4	 6	 7	218.635	0.480
 4	 7	 0	225.961	0.308
 4	 7	 1	224.853	0.298
 4	 7	 2	223.814	0.296
 4	 7	 3	222.744	0.376
 4	 7	 4	221.828	0.351
 4	 7	 5	220.686	0.304
 4	 7	 6	219.780	0.355
 4	 7	 7	218.583	0.456
 5	 0	 0	224.279	0.441
 5	 0	 1	223.052	0.544
 5	 0	 2	222.104	0.551
 5	 0	 3	220.874	0.570
 5	 0	 4	220.003	0.628
 5	 0	 5	218.879	0.509
 5	 0	 6	217.916	0.512
 5	 0	 7	216.862	0.620
 5	 1	 0	224.197	0.378
 5	 1	 1	223.000	0.472
 5	 1	 2	222.066	0.491
 5	 1	 3	220.836	0.509
 5	 1	 4	219.959	0.620
 5	 1	 5	218.868	0.480
 5	 1	 6	217.901	0.469
 5	 1	 7	216.800	0.694
 5	 2	 0	224.269	0.363
 5	 2	 1	223.050	0.404
 5	 2	 2	222.031	0.416
 5	 2	 3	220.870	0.509
 5	 2	 4	219.921	0.537
 5	 2	 5	218.869	0.392
 5	 2	 6	217.904	0.468
 5	 2	 7	216.795	0.757
 5	 3	 0	224.194	0.304
 5	 3	 1	223.021	0.387
 5	 3	 2	222.048	0.364
 5	 3	 3	220.835	0.507
 5	 3	 4	219.980	0.486
 5	 3	 5	218.875	0.363
 5	 3	 6	217.935	0.443
 5	 3	 7	216.813	0.799
 5	 4	 0	224.169	0.303
 5	 4	 1	223.055	0.341
 5	 4	 2	222.023	0.408
 5	 4	 3	220.847	0.485
 5	 4	 4	219.997	0.511
 5	 4	 5	218.826	0.350
 5	 4	 6	217.977	0.447
 5	 4	 7	216.776	0.713
 5	 5	 0	224.184	0.332
 5	 5	 1	223.003	0.324
 5	 5	 2	222.045	0.334
 5	 5	 3	220.859	0.489
 5	 5	 4	219.945	0.469
 5	 5	 5	218.881	0.333
