INDEX
ENC_l_m: ENC obtained with pedestal rms and linear gain fit with mean values
ENC_l_mwo: ENC obtained with pedestal rms and linear gain fit with mean values without outliers
ENC_3_m: ENC obtained with pedestal rms and cubic gain fit with mean values
ENC_3_mwo: ENC obtained with pedestal rms and cubic gain fit with mean values without outliers
-----------------------------------------------------------------
ch	pt	ENC_l_m	ENC_l_mwo	ENC_3_m	ENC_3_mwo
24	 1	3.572	3.384	3.094	2.931
24	 2	3.474	3.382	2.942	2.858
24	 3	3.262	3.119	2.819	2.684
24	 4	3.238	3.218	2.776	2.770
24	 5	3.346	3.368	2.903	2.910
24	 6	3.450	3.399	2.994	2.938
24	 7	3.312	3.304	2.955	2.948
25	 0	3.708	3.254	3.050	2.674
25	 1	3.436	3.245	2.974	2.825
25	 2	3.100	3.075	2.681	2.660
25	 3	3.069	3.054	2.693	2.682
25	 4	3.125	3.092	2.743	2.727
25	 5	3.204	3.163	2.803	2.766
25	 6	3.196	3.181	2.868	2.854
25	 7	3.297	3.242	2.945	2.891
26	 0	3.863	3.546	3.087	2.855
26	 1	3.502	3.336	2.918	2.776
26	 2	3.129	3.051	2.639	2.574
26	 3	3.159	3.159	2.679	2.677
26	 4	3.101	3.107	2.666	2.668
26	 5	3.144	3.144	2.724	2.724
26	 6	3.288	3.288	2.866	2.866
26	 7	3.172	3.153	2.847	2.830
27	 0	3.685	3.161	2.957	2.544
27	 1	3.318	3.236	2.824	2.765
27	 2	3.231	3.126	2.790	2.698
27	 3	3.109	3.017	2.718	2.642
27	 4	3.096	3.004	2.723	2.632
27	 5	3.036	3.006	2.760	2.742
27	 6	3.150	3.057	2.879	2.802
27	 7	3.305	3.135	3.042	2.895
28	 0	3.355	3.151	2.721	2.547
28	 1	3.235	3.172	2.728	2.677
28	 2	3.209	3.169	2.686	2.655
28	 3	3.028	3.029	2.553	2.556
28	 4	3.047	3.049	2.598	2.600
28	 5	3.123	3.127	2.735	2.735
28	 6	3.095	3.079	2.761	2.747
28	 7	3.124	3.104	2.767	2.754
29	 0	2.935	2.838	2.487	2.412
29	 1	2.877	2.833	2.446	2.409
29	 2	2.700	2.679	2.316	2.299
29	 3	2.722	2.691	2.361	2.331
29	 4	2.839	2.817	2.477	2.463
29	 5	2.846	2.846	2.529	2.525
29	 6	2.834	2.834	2.506	2.505
29	 7	3.164	3.091	2.823	2.764
30	 0	2.975	2.924	2.472	2.440
30	 1	3.020	2.920	2.602	2.514
30	 2	2.938	2.938	2.556	2.556
30	 3	2.985	2.975	2.605	2.595
30	 4	3.081	3.069	2.684	2.673
30	 5	3.046	3.046	2.664	2.664
30	 6	3.139	3.119	2.819	2.796
30	 7	3.136	3.119	2.833	2.819
31	 0	2.842	2.814	2.395	2.363
31	 1	2.878	2.871	2.509	2.491
31	 2	2.859	2.819	2.528	2.495
31	 3	2.842	2.827	2.480	2.465
31	 4	2.778	2.757	2.448	2.433
31	 5	3.110	3.080	2.727	2.693
31	 6	2.974	2.918	2.698	2.662
31	 7	3.146	3.102	2.850	2.812
